Crime_Type,Date,Time,State,District,Latitude,Longitude,Approval Status
crime_against_children,2024-04-11,17:26,Jharkhand,Ranchi,23.412180152717096,85.2292764001261,approved
kidnapping,2024-04-26,07:49,Delhi,New Delhi,28.6139,77.209,approved
murder,2024-04-11,23:21,Karnataka,Tumkur,13.3383324,77.1362812,approved
kidnapping,2024-04-05,15:00,Rajasthan,Jaipur,26.9124,75.7873,approved
crime_against_children,2024-04-10,02:19,Kerala,Thiruvananthapuram,8.5241,76.9366,approved
crime_against_children,2024-04-11,03:17,Gujarat,Ahmedabad,23.0225,72.5714,approved
crime_against_children,2024-04-12,12:58,West Bengal,Kolkata,22.5726,88.3639,approved
kidnapping,2024-04-13,18:21,Assam,Guwahati,26.1445,91.7362,approved
crime_against_children,2024-04-14,10:55,Punjab,Chandigarh,30.7333,76.7794,approved
crime_against_children,2024-04-15,22:29,Haryana,Gurgaon,28.4595,77.0266,approved
crime_against_children,2024-04-16,17:50,Bihar,Patna,25.5941,85.1376,approved
kidnapping,2024-04-18,23:17,Madhya Pradesh,Bhopal,23.2599,77.4126,approved
crime_against_children,2024-04-15,15:33,Andhra Pradesh,Hyderabad,17.3850,78.4867,approved
crime_against_children,2024-04-14,04:25,Telangana,Warangal,17.9784,79.6001,approved
crime_against_children,2024-04-13,00:55,Odisha,Bhubaneswar,20.2961,85.8245,approved
kidnapping,2024-04-12,11:35,Uttarakhand,Dehradun,30.3165,78.0322,approved
crime_against_children,2024-04-11,22:16,Goa,Panaji,15.4909,73.8278,approved
crime_against_children,2024-04-10,05:51,Himachal Pradesh,Shimla,31.1048,77.1734,approved
crime_against_children,2024-04-11,03:20,Tripura,Agartala,23.8315,91.2868,approved
kidnapping,2024-03-14,04:41,Manipur,Imphal,24.8170,93.9368,approved
crime_against_children,2024-04-14,22:26,Mizoram,Aizawl,23.7271,92.7176,approved
crime_against_children,2024-04-14,18:09,Meghalaya,Shillong,25.5788,91.8933,approved
crime_against_children,2024-04-17,07:42,Sikkim,Gangtok,27.3389,88.6065,approved
kidnapping,2024-04-16,22:45,Arunachal Pradesh,Itanagar,27.0844,93.6053,approved
crime_against_children,2024-04-15,05:04,Nagaland,Kohima,25.6751,94.1086,approved
crime_against_children,2024-04-14,15:30,Chhattisgarh,Raipur,21.2514,81.6296,approved
crime_against_children,2024-04-13,14:25,Jammu and Kashmir,Srinagar,34.0837,74.7973,approved
kidnapping,2024-04-12,02:12,Ladakh,Leh,34.1526,77.5771,approved
crime_against_children,2024-04-11,17:40,Daman and Diu,Daman,20.4283,72.8397,approved
crime_against_children,2024-04-10,07:09,Dadra and Nagar Haveli,Silvassa,20.2739,73.0169,approved
crime_against_children,2024-04-09,04:29,Lakshadweep,Kavaratti,10.5667,72.6167,approved
kidnapping,2024-04-08,17:59,Andaman and Nicobar Islands,Port Blair,11.6234,92.7265,approved
crime_against_children,2024-04-07,22:16,Puducherry,Puducherry,11.9139,79.8145,approved
crime_against_children,2024-04-06,04:31,Chandigarh,Chandigarh,30.7333,76.7794,approved
crime_against_children,2024-04-05,19:21,Ladakh,Kargil,34.5553,76.1325,approved
kidnapping,2024-04-04,08:56,Delhi,New Delhi,28.6139,77.209,approved
crime_against_children,2024-04-03,16:35,Rajasthan,Udaipur,24.5854,73.7125,approved
crime_against_children,2024-04-02,01:12,Tamil Nadu,Coimbatore,11.0168,76.9558,approved
crime_against_children,2024-04-01,11:19,Kerala,Kochi,9.9312,76.2673,approved
murder,2024-04-05,06:38,Bihar,Patna,25.608270478876463,85.12467956490583,approved
