Crime_Type,Date,Time,State,District,Latitude,Longitude,Approval Status
crime_against_children,2024-04-02,12:58,West Bengal,Kolkata,22.5726,88.3639,pending
crime_against_children,2024-03-31,10:55,Punjab,Chandigarh,30.7333,76.7794,pending
kidnapping,2024-03-28,23:05,Madhya Pradesh,Bhopal,23.2599,77.4126,pending
kidnapping,2024-03-12,02:12,Ladakh,Leh,34.1526,77.5771,pending
cyber_crimes,2024-04-11,14:20,Karnataka,Bangalore Urban,12.955257553957724,77.59616088762415,pending
crime_against_children,2024-04-15,16:21,Karnataka,Tumkur,13.3390237,77.1161448,pending
crime_against_women,2024-04-14,22:21,Karnataka,Chikkamagaluru,13.324816726100986,75.7913818024099,pending
murder,2024-04-11,03:28,Karnataka,Udupi,13.296351353525255,74.77734368294479,pending
crime_against_children,2024-04-12,10:30,Kerala,Palakkad,10.77145636617741,76.66094969026746,pending
cyber_crimes,2024-04-14,11:33,Kerala,Thrissur,10.482781790544806,76.26077269669624,pending
kidnapping,2024-04-16,21:32,Kerala,Wayanad,10.856959904590893,76.18359374580905,pending
crime_against_women,2024-04-13,22:36,Kerala,Kottayam,9.83663682589801,76.51579284458421,pending
