Crime_Type,Date,Time,State,District,Latitude,Longitude,Approval Status
crime_against_children,2024-04-10,15:21,Karnataka,Davanagere,13.33879722629903,77.13543937521384,rejected
crime_against_children,2024-04-08,17:45,Maharashtra,Mumbai,19.0760,72.8777,rejected
crime_against_children,2024-04-06,01:54,Uttar Pradesh,Lucknow,26.8467,80.9462,rejected
kidnapping,2024-04-05,15:00,Rajasthan,Jaipur,26.9124,75.7873,rejected
kidnapping,2024-04-01,18:21,Assam,Guwahati,26.1445,91.7362,rejected
crime_against_children,2024-03-30,22:29,Haryana,Gurgaon,28.4595,77.0266,rejected
crime_against_children,2024-03-29,17:50,Bihar,Patna,25.5941,85.1376,rejected
cyber_crimes,2024-04-15,15:18,Jharkhand,Jamtara,23.961450327076022,86.8119735707296,rejected
cyber_crimes,2024-04-13,22:24,Karnataka,Mandya,12.546386615817463,76.8295898102224,rejected
crime_against_women,2024-04-11,15:37,Kerala,Kottayam,10.38157193944478,76.27560424385594,rejected
crime_against_children,2024-04-04,02:19,Kerala,Thiruvananthapuram,8.5241,76.9366,rejected
